temperature,pressure,altitude,numberDensity
0.1650189E+003, 0.2886356E-003, 0.1806782E+03, 0.1266873E+017
0.1650170E+003, 0.2839039E-003, 0.1811081E+03, 0.1246119E+017
0.1650153E+003, 0.2792064E-003, 0.1815423E+03, 0.1225513E+017
0.1650137E+003, 0.2745437E-003, 0.1819810E+03, 0.1205059E+017
0.1650123E+003, 0.2699161E-003, 0.1824242E+03, 0.1184757E+017
0.1650110E+003, 0.2653242E-003, 0.1828719E+03, 0.1164611E+017
0.1650099E+003, 0.2607684E-003, 0.1833241E+03, 0.1144621E+017
0.1650089E+003, 0.2562490E-003, 0.1837810E+03, 0.1124791E+017
0.1650079E+003, 0.2517667E-003, 0.1842426E+03, 0.1105122E+017
0.1650071E+003, 0.2473217E-003, 0.1847089E+03, 0.1085617E+017
0.1650063E+003, 0.2429145E-003, 0.1851799E+03, 0.1066276E+017
0.1650057E+003, 0.2385455E-003, 0.1856558E+03, 0.1047103E+017
0.1650051E+003, 0.2342151E-003, 0.1861365E+03, 0.1028098E+017
0.1650046E+003, 0.2299236E-003, 0.1866221E+03, 0.1009263E+017
0.1650041E+003, 0.2256714E-003, 0.1871127E+03, 0.9906011E+016
0.1650037E+003, 0.2214590E-003, 0.1876083E+03, 0.9721127E+016
0.1650033E+003, 0.2172866E-003, 0.1881090E+03, 0.9537997E+016
0.1650030E+003, 0.2131546E-003, 0.1886148E+03, 0.9356637E+016
0.1650027E+003, 0.2090633E-003, 0.1891257E+03, 0.9177061E+016
0.1650024E+003, 0.2050130E-003, 0.1896419E+03, 0.8999284E+016
0.1650022E+003, 0.2010041E-003, 0.1901634E+03, 0.8823320E+016
0.1650020E+003, 0.1970368E-003, 0.1906901E+03, 0.8649181E+016
0.1650018E+003, 0.1931114E-003, 0.1912223E+03, 0.8476881E+016
0.1650017E+003, 0.1892282E-003, 0.1917599E+03, 0.8306432E+016
0.1650015E+003, 0.1853875E-003, 0.1923030E+03, 0.8137846E+016
0.1650014E+003, 0.1815895E-003, 0.1928516E+03, 0.7971133E+016
0.1650013E+003, 0.1778345E-003, 0.1934058E+03, 0.7806305E+016
0.1650012E+003, 0.1741226E-003, 0.1939657E+03, 0.7643370E+016
